PROVINCIA,MUNICIPIO,IDMuni,Lon,Lat,Year,Month,pr,rperc,rdec,condicion,rdecmod,rachas,anom,Z,catZ,SPI6,Intense
Mayabeque,Quivicán,17,-82.38828,22.79985,2025,8,538.6,61.5,1,2,-3,4,-337.1,-1.96,3,-2.27,4
Mayabeque,San José de las Lajas,18,-82.15323,22.93607,2025,8,569,63.6,1,2,-3,4,-325.3,-1.92,3,-2.2,4
Mayabeque,Melena del Sur,19,-82.14551,22.76797,2025,8,578.1,66.1,1,2,-3,4,-296.6,-1.66,3,-1.86,4
Mayabeque,Güines,20,-82.00009,22.8063,2025,8,613.5,68.1,1,2,-3,4,-286.8,-1.72,3,-1.91,4
Mayabeque,Madruga,21,-81.81433,22.94828,2025,8,576.7,63.8,1,2,-3,4,-327.9,-1.93,3,-2.11,4
Mayabeque,Jaruco,22,-82.00334,23.05956,2025,8,550.7,69.4,1,2,-3,5,-242.5,-1.54,3,-1.67,4
Artemisa,Bauta,23,-82.52438,22.98461,2025,8,427.6,52.3,1,2,-3,4,-390.5,-2.38,3,-2.85,4
Artemisa,Güira de Melena,24,-82.50179,22.74973,2025,8,421.8,52,1,2,-3,4,-389.6,-2.08,3,-2.44,4
Artemisa,Caimito,25,-82.62553,22.93123,2025,8,441.7,53.1,1,2,-3,4,-389.4,-2.28,3,-2.69,4
Artemisa,Guanajay,26,-82.73016,22.90785,2025,8,491.9,57.7,1,2,-3,4,-360.5,-1.69,3,-1.91,4
Artemisa,Artemisa,27,-82.81786,22.77982,2025,8,541,64.6,1,2,-3,4,-296.2,-1.57,3,-1.71,4
Artemisa,Alquízar,28,-82.60815,22.76171,2025,8,506.9,60.8,1,2,-3,4,-326.7,-1.83,3,-2.03,4
Mayabeque,San Nicolás,29,-81.89484,22.75398,2025,8,553.7,60.7,1,2,-3,4,-359.1,-2.06,3,-2.34,4
Mayabeque,Nueva Paz,30,-81.72251,22.71721,2025,8,604.1,65,1,2,-3,4,-325.5,-2.25,3,-2.48,4
Mayabeque,Santa Cruz del Norte,31,-81.85229,23.11077,2025,8,506.3,67.7,1,2,-3,5,-241.4,-1.52,3,-1.65,4
Artemisa,Mariel,32,-82.818,22.97468,2025,8,544.5,72.9,2,1,-2,1,-202.6,-0.95,2,-0.95,2
Mayabeque,Batabanó,33,-82.28479,22.73571,2025,8,524,64.8,1,2,-3,4,-284.9,-1.44,3,-1.58,4
Isla de la Juventud,Municipio Especial Isla de la Juventud,34,-82.83818,21.67524,2025,8,505.8,61.4,1,2,-3,6,-317.8,-1.91,3,-2.14,4
Matanzas,Los Arabos,35,-80.6557,22.64053,2025,8,551.4,63.5,1,2,-3,4,-317.2,-2.04,3,-2.28,4
Matanzas,Perico,36,-81.02937,22.83782,2025,8,531.1,60.9,1,2,-3,5,-340.7,-1.69,3,-1.86,4
Matanzas,Jovellanos,37,-81.24056,22.84554,2025,8,545.5,60.2,1,2,-3,4,-361.2,-1.96,3,-2.22,4
Matanzas,Jagüey Grande,38,-81.12324,22.58874,2025,8,740,79.4,1,2,-3,4,-192.4,-0.99,2,-0.98,2
Matanzas,Colón,39,-80.87964,22.74671,2025,8,615.3,68.7,1,2,-3,5,-280.8,-1.55,3,-1.65,4
Matanzas,Calimete,40,-80.91961,22.42391,2025,8,591.1,67.6,1,2,-3,4,-283.7,-1.73,3,-1.86,4
Matanzas,Matanzas,41,-81.60601,23.05681,2025,8,437.8,54.5,1,2,-3,4,-365.7,-2.45,3,-2.83,4
Matanzas,Limonar,42,-81.48468,22.94117,2025,8,547.2,60.1,1,2,-3,4,-363.4,-2.04,3,-2.26,4
Matanzas,Pedro Betancourt,43,-81.35803,22.74488,2025,8,782.3,81.6,1,2,-3,2,-176.6,-0.89,2,-0.91,2
Matanzas,Unión de Reyes,44,-81.54002,22.72277,2025,8,726.5,76.3,1,2,-3,2,-226.2,-1.31,2,-1.35,3
Matanzas,Varadero,45,-81.19996,23.17438,2025,8,515.1,70.1,1,2,-3,4,-220.1,-1.23,3,-1.27,3
Matanzas,Cárdenas,46,-81.25596,23.01169,2025,8,454.1,58.7,1,2,-3,4,-319.9,-1.79,3,-1.99,4
Matanzas,Ciénaga de Zapata,47,-81.41583,22.31328,2025,8,547.1,63.5,1,2,-3,4,-314.1,-2.18,3,-2.38,4
Cienfuegos,Rodas,48,-80.52334,22.4002,2025,8,654.3,72.7,1,2,-3,4,-245.2,-1.51,2,-1.59,4
Cienfuegos,Palmira,49,-80.38253,22.28756,2025,8,583.3,67.1,1,2,-3,4,-285.7,-1.92,3,-2.07,4
Cienfuegos,Cruces,50,-80.22104,22.2947,2025,8,474.9,55.5,1,2,-3,5,-380.2,-2.71,3,-3.13,4
